X,CH1,Start,Increment,
638,-1.60E+00,,,
639,-1.40E+00,,,
640,-1.40E+00,,,
641,-1.40E+00,,,
642,-1.60E+00,,,
643,-1.60E+00,,,
644,-1.60E+00,,,
645,-1.40E+00,,,
646,-1.60E+00,,,
647,-1.40E+00,,,
648,-1.40E+00,,,
649,-1.40E+00,,,
650,-1.60E+00,,,
651,-1.60E+00,,,
652,-2.20E+00,,,
653,-2.40E+00,,,
654,-2.60E+00,,,
655,-2.60E+00,,,
656,-2.60E+00,,,
657,-2.60E+00,,,
658,-2.80E+00,,,
659,-2.80E+00,,,
660,-2.80E+00,,,
661,-2.80E+00,,,
662,-2.80E+00,,,
663,-2.80E+00,,,
664,-2.60E+00,,,
665,-2.60E+00,,,
666,-2.60E+00,,,
667,-2.60E+00,,,
668,-2.80E+00,,,
669,-2.60E+00,,,
670,-2.80E+00,,,
671,-2.80E+00,,,
672,-3.20E+00,,,
673,-3.40E+00,,,
674,-3.80E+00,,,
675,-3.80E+00,,,
676,-4.00E+00,,,
677,-4.00E+00,,,
678,-4.00E+00,,,
679,-4.00E+00,,,
680,-4.00E+00,,,
681,-4.00E+00,,,
682,-4.00E+00,,,
683,-3.80E+00,,,
684,-4.00E+00,,,
685,-3.80E+00,,,
686,-4.00E+00,,,
687,-3.80E+00,,,
688,-3.80E+00,,,
689,-3.80E+00,,,
690,-4.00E+00,,,
691,-4.00E+00,,,
692,-4.20E+00,,,
693,-4.20E+00,,,
694,-4.20E+00,,,
695,-4.40E+00,,,
696,-4.20E+00,,,
697,-4.20E+00,,,
698,-4.40E+00,,,
699,-4.20E+00,,,
700,-4.40E+00,,,
701,-4.20E+00,,,
702,-4.40E+00,,,
703,-4.20E+00,,,
704,-4.20E+00,,,
705,-4.40E+00,,,
706,-4.40E+00,,,
707,-4.40E+00,,,
708,-4.40E+00,,,
709,-4.40E+00,,,
710,-4.40E+00,,,
711,-4.40E+00,,,
712,-4.00E+00,,,
713,-4.00E+00,,,
714,-4.00E+00,,,
715,-3.80E+00,,,
716,-4.00E+00,,,
717,-4.00E+00,,,
718,-4.00E+00,,,
719,-3.80E+00,,,
720,-4.00E+00,,,
721,-3.80E+00,,,
722,-4.00E+00,,,
723,-4.00E+00,,,
724,-4.00E+00,,,
725,-4.00E+00,,,
726,-4.00E+00,,,
727,-4.00E+00,,,
728,-4.00E+00,,,
729,-4.00E+00,,,
730,-4.00E+00,,,
731,-3.80E+00,,,
732,-3.40E+00,,,
733,-2.80E+00,,,
734,-3.00E+00,,,
735,-2.80E+00,,,
736,-2.60E+00,,,
737,-2.80E+00,,,
738,-2.80E+00,,,
739,-2.80E+00,,,
740,-2.80E+00,,,
741,-2.80E+00,,,
742,-2.80E+00,,,
743,-2.80E+00,,,
744,-2.60E+00,,,
745,-2.80E+00,,,
746,-2.80E+00,,,
747,-2.60E+00,,,
748,-2.80E+00,,,
749,-2.60E+00,,,
750,-2.80E+00,,,
751,-2.60E+00,,,
752,-2.00E+00,,,
753,-1.80E+00,,,
754,-1.80E+00,,,
755,-1.60E+00,,,
756,-1.80E+00,,,
757,-1.60E+00,,,
758,-1.60E+00,,,
759,-1.40E+00,,,
760,-1.40E+00,,,
761,-1.60E+00,,,
762,-1.60E+00,,,
763,-1.40E+00,,,
764,-1.60E+00,,,
765,-1.60E+00,,,
766,-1.80E+00,,,
767,-1.60E+00,,,
768,-1.60E+00,,,
769,-1.40E+00,,,
770,-1.60E+00,,,
771,-1.40E+00,,,
772,-1.20E+00,,,
773,-8.00E-01,,,
774,-1.00E+00,,,
775,-8.00E-01,,,
776,-8.00E-01,,,
777,-8.00E-01,,,
778,-8.00E-01,,,
779,-6.00E-01,,,
780,-8.00E-01,,,
781,-8.00E-01,,,
782,-8.00E-01,,,
783,-6.00E-01,,,
784,-6.00E-01,,,
785,-6.00E-01,,,
786,-8.00E-01,,,
787,-8.00E-01,,,
788,-8.00E-01,,,
789,-8.00E-01,,,
790,-8.00E-01,,,
791,-8.00E-01,,,
792,-6.00E-01,,,
793,-6.00E-01,,,
794,-8.00E-01,,,
795,-6.00E-01,,,
796,-8.00E-01,,,
797,-6.00E-01,,,
798,-8.00E-01,,,
799,-6.00E-01,,,
800,-6.00E-01,,,
801,-6.00E-01,,,
802,-8.00E-01,,,
803,-6.00E-01,,,
804,-6.00E-01,,,
805,-6.00E-01,,,
806,-6.00E-01,,,
807,-6.00E-01,,,
808,-6.00E-01,,,
809,-6.00E-01,,,
810,-6.00E-01,,,
811,-6.00E-01,,,
812,-1.00E+00,,,
813,-1.00E+00,,,
814,-1.20E+00,,,
815,-1.20E+00,,,
816,-1.20E+00,,,
817,-1.20E+00,,,
818,-1.40E+00,,,
819,-1.40E+00,,,
820,-1.40E+00,,,
821,-1.20E+00,,,
822,-1.40E+00,,,
823,-1.40E+00,,,
824,-1.20E+00,,,
825,-1.20E+00,,,
826,-1.40E+00,,,
827,-1.20E+00,,,
828,-1.40E+00,,,
829,-1.40E+00,,,
830,-1.40E+00,,,
831,-1.40E+00,,,
832,-2.00E+00,,,
833,-2.20E+00,,,
834,-2.60E+00,,,
835,-2.40E+00,,,
836,-2.60E+00,,,
837,-2.40E+00,,,
838,-2.60E+00,,,
839,-2.60E+00,,,
840,-2.60E+00,,,
841,-2.40E+00,,,
842,-2.60E+00,,,
843,-2.40E+00,,,
844,-2.60E+00,,,
845,-2.60E+00,,,
846,-2.60E+00,,,
847,-2.40E+00,,,
848,-2.60E+00,,,
849,-2.60E+00,,,
850,-2.80E+00,,,
851,-2.80E+00,,,
852,-3.40E+00,,,
853,-3.40E+00,,,
854,-3.80E+00,,,
855,-4.00E+00,,,
856,-4.00E+00,,,
857,-3.80E+00,,,
858,-4.00E+00,,,
859,-3.80E+00,,,
860,-4.00E+00,,,
861,-4.00E+00,,,
862,-4.20E+00,,,
863,-4.00E+00,,,
864,-4.00E+00,,,
865,-4.00E+00,,,
866,-4.00E+00,,,
867,-4.00E+00,,,
868,-4.00E+00,,,
869,-4.00E+00,,,
870,-4.00E+00,,,
871,-4.00E+00,,,
872,-4.20E+00,,,
873,-4.40E+00,,,
874,-4.40E+00,,,
875,-4.40E+00,,,
876,-4.60E+00,,,
877,-4.40E+00,,,
878,-4.60E+00,,,
879,-4.60E+00,,,
880,-4.60E+00,,,
881,-4.60E+00,,,
882,-4.80E+00,,,
883,-4.60E+00,,,
884,-4.60E+00,,,
885,-4.60E+00,,,
886,-4.60E+00,,,
887,-4.60E+00,,,
888,-4.60E+00,,,
889,-4.60E+00,,,
890,-4.60E+00,,,
891,-4.40E+00,,,
892,-4.40E+00,,,
893,-4.40E+00,,,
894,-4.40E+00,,,
895,-4.20E+00,,,
896,-4.20E+00,,,
897,-4.20E+00,,,
898,-4.20E+00,,,
899,-4.20E+00,,,
900,-4.40E+00,,,
901,-4.20E+00,,,
902,-4.20E+00,,,
903,-4.20E+00,,,
904,-4.20E+00,,,
905,-4.20E+00,,,
906,-4.20E+00,,,
907,-4.20E+00,,,
908,-4.40E+00,,,
909,-4.20E+00,,,
910,-4.40E+00,,,
911,-4.00E+00,,,
912,-3.40E+00,,,
913,-3.20E+00,,,
914,-3.20E+00,,,
915,-3.00E+00,,,
916,-3.00E+00,,,
917,-2.80E+00,,,
918,-2.80E+00,,,
919,-3.00E+00,,,
920,-2.80E+00,,,
921,-2.80E+00,,,
922,-3.00E+00,,,
923,-2.80E+00,,,
924,-3.00E+00,,,
925,-2.80E+00,,,
926,-2.80E+00,,,
927,-2.80E+00,,,
928,-2.80E+00,,,
929,-3.00E+00,,,
930,-3.00E+00,,,
931,-2.80E+00,,,
932,-2.20E+00,,,
933,-1.60E+00,,,
934,-1.60E+00,,,
935,-1.60E+00,,,
936,-1.40E+00,,,
937,-1.40E+00,,,
938,-1.40E+00,,,
939,-1.20E+00,,,
940,-1.40E+00,,,
941,-1.20E+00,,,
942,-1.40E+00,,,
943,-1.20E+00,,,
944,-1.20E+00,,,
945,-1.20E+00,,,
946,-1.40E+00,,,
947,-1.40E+00,,,
948,-1.40E+00,,,
949,-1.20E+00,,,
950,-1.40E+00,,,
951,-1.00E+00,,,
952,-4.00E-01,,,
953,-2.00E-01,,,
954,-2.00E-01,,,
955,-4.35E-05,,,
956,-2.00E-01,,,
957,-4.35E-05,,,
958,-4.35E-05,,,
959,-4.35E-05,,,
